query_id,config_name,agent_type,embedding_model,reranker_model,k,metric,score,iterations
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.5,1
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
14,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.5,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.5,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.5,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
15,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.5,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
16,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,0.0,3
17,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.0,3
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,2
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,2
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,2
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.5,2
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,2
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.5,2
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,2
18,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.5,2
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,3
19,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.125,3
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
20,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
21,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
22,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
23,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
24,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
25,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
26,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
27,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,0.0,3
28,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,3
29,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.14285714285714285,3
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,1
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,1
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.5,1
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.5,1
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
30,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.5,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
31,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,3
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,3
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,0.0,3
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.0,3
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,0.0,3
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.0,3
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,0.0,3
32,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.0,3
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,0.0,1
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,0.0,1
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,0.5,1
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,0.5,1
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
33,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,0.5,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,recall,1.0,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,1,mrr,1.0,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,recall,1.0,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,3,mrr,1.0,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,recall,1.0,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,5,mrr,1.0,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,recall,1.0,1
34,RAGAgent-text-embedding-3-small,RAGAgent,text-embedding-3-small,None,10,mrr,1.0,1
